Time (+08),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 12:51:00 PM    Left Gate (KUL) @ Thursday 12:51:00 PM +08,,,,,,,, Airline
Taxi Time: 16 minutes,,,,,,,,
Thu 01:07:28 PM    Departure (KUL) @ Thursday 01:07:28 PM +08,,,,,,,, Surface and Near-Surface
Thu 01:07:28 PM,2.7268,101.6851,↖ 326°,167,192,350,, Surface and Near-Surface
Thu 01:07:44 PM,2.7364,101.6786,↖ 326°,166,191,875,1545, FlightAware ADS-B (SZB / WMSA)
Thu 01:08:01 PM,2.7481,101.6706,↖ 326°,188,216,1200,1091, FlightAware ADS-B (SZB / WMSA)
Thu 01:08:17 PM,2.7593,101.661,← 309°,210,242,1475,891, FlightAware ADS-B (WMBF)
Thu 01:08:33 PM,2.7644,101.6466,← 277°,236,272,1675,1324, FlightAware ADS-B (SZB / WMSA)
Thu 01:08:51 PM,2.7641,101.6238,← 268°,260,299,2225,2162, FlightAware ADS-B (SZB / WMSA)
Thu 01:09:07 PM,2.7632,101.6034,← 266°,268,308,2900,1765, FlightAware ADS-B (SZB / WMSA)
Thu 01:09:25 PM,2.7559,101.5829,↙ 239°,264,304,3225,1629, FlightAware ADS-B (SZB / WMSA)
Thu 01:09:42 PM,2.7399,101.5708,↙ 205°,264,304,3850,2583, FlightAware ADS-B (SZB / WMSA)
Thu 01:10:01 PM,2.7177,101.5685,↓ 172°,263,303,4775,3034, FlightAware ADS-B (SZB / WMSA)
Thu 01:10:26 PM,2.6867,101.5748,↓ 170°,268,308,6075,3000, FlightAware ADS-B (KUL / WMKK)
Thu 01:10:44 PM,2.6642,101.5759,↓ 180°,273,314,6925,3077, FlightAware ADS-B (SZB / WMSA)
Thu 01:11:05 PM,2.638,101.5761,↓ 176°,270,311,8075,2850, FlightAware ADS-B (MKZ / WMKM)
Thu 01:11:24 PM,2.6159,101.5841,↘ 149°,272,313,8825,2361, FlightAware ADS-B (SZB / WMSA)
Thu 01:12:06 PM,2.5854,101.6273,↘ 123°,282,325,10475,2493, FlightAware ADS-B (SZB / WMSA)
Thu 01:12:38 PM,2.5624,101.6629,↘ 122°,286,329,11900,2468, FlightAware ADS-B (QPG / WSAP)
Thu 01:13:08 PM,2.5409,101.6965,↘ 123°,294,338,13025,2475, FlightAware ADS-B (QPG / WSAP)
Thu 01:13:38 PM,2.519,101.7308,↘ 122°,291,335,14375,2350, FlightAware ADS-B (QPG / WSAP)
Thu 01:14:08 PM,2.4967,101.766,↘ 122°,300,345,15375,1975, FlightAware ADS-B (SZB / WMSA)
Thu 01:14:38 PM,2.4743,101.8013,↘ 122°,308,354,16350,1451, FlightAware ADS-B (KUL / WMKK)
Thu 01:15:09 PM,2.4493,101.8406,↘ 122°,331,381,16850,787, FlightAware ADS-B (MKZ / WMKM)
Thu 01:15:39 PM,2.423,101.8819,↘ 122°,359,413,17150,1150, FlightAware ADS-B (MKZ / WMKM)
Thu 01:16:09 PM,2.3958,101.9239,↘ 126°,365,420,18000,1826, FlightAware ADS-B (SZB / WMSA)
Thu 01:16:25 PM,2.3788,101.9434,↘ 133°,364,419,18550,1775, FlightAware ADS-B (SZB / WMSA)
Thu 01:17:09 PM,2.3242,101.9964,↘ 136°,373,429,19775,1682, FlightAware ADS-B (SZB / WMSA)
Thu 01:17:39 PM,2.2867,102.032,↘ 136°,376,433,20625,1500, FlightAware ADS-B (SZB / WMSA)
Thu 01:18:09 PM,2.2486,102.0681,↘ 137°,385,443,21275,1225, FlightAware ADS-B (SZB / WMSA)
Thu 01:18:39 PM,2.2067,102.1071,↘ 137°,395,455,21850,1082, FlightAware ADS-B (PKU / WIBB)
Thu 01:19:10 PM,2.1659,102.1446,↘ 138°,406,467,22375,1180, FlightAware ADS-B (SZB / WMSA)
Thu 01:19:40 PM,2.1239,102.1832,↘ 137°,410,472,23050,1319, FlightAware ADS-B (MKZ / WMKM)
Thu 01:20:08 PM,2.0861,102.2208,↘ 131°,413,475,23650,1307, FlightAware ADS-B (SZB / WMSA)
Thu 01:20:50 PM,2.0384,102.2833,↘ 126°,416,479,24575,1396, FlightAware ADS-B (MKZ / WMKM)
Thu 01:21:20 PM,2.0036,102.3306,↘ 126°,417,480,25325,1250, FlightAware ADS-B (MKZ / WMKM)
Thu 01:21:50 PM,1.9702,102.3761,↘ 126°,419,482,25825,1050, FlightAware ADS-B (PKU / WIBB)
Thu 01:22:20 PM,1.9348,102.4248,↘ 126°,420,483,26375,1025, FlightAware ADS-B (MKZ / WMKM)
Thu 01:22:50 PM,1.9011,102.471,↘ 126°,424,488,26850,577, FlightAware ADS-B (SZB / WMSA)
