flight_id,route,origin,destination,departure_time,arrival_time,waypoint_count,max_altitude,max_speed,distance_km
AXM706_20250317_0,AXM706_WSSS-WMKK,WSSS,WMKK,,,79,24000.0,468.0,338.6184086784738
AXM706_20250317_1,AXM706_WSSS-WMKK,WSSS,WMKK,,,82,22025.0,454.0,346.5490071839024
AXM706_20250317_2,AXM706_WSSS-WMKK,WSSS,WMKK,,,81,22025.0,442.0,320.55622571862904
AXM706_20250317_3,AXM706_WSSS-WMKK,WSSS,WMKK,,,85,22025.0,371.0,336.8356875904952
AXM706_20250317_4,AXM706_WSSS-WMKK,WSSS,WMKK,,,107,22000.0,398.0,439.4803338095342
AXM706_20250317_5,AXM706_WSSS-WMKK,WSSS,WMKK,,,73,22025.0,437.0,315.1574429046942
AXM706_20250317_6,AXM706_WSSS-WMKK,WSSS,WMKK,,,82,24025.0,412.0,328.46128598824924
AXM706_20250317_7,AXM706_WSSS-WMKK,WSSS,WMKK,,,94,24000.0,407.0,385.3665783080973
AXM706_20250317_8,AXM706_WSSS-WMKK,WSSS,WMKK,,,97,24025.0,434.0,408.40465284436044
AXM706_20250317_9,AXM706_WSSS-WMKK,WSSS,WMKK,,,114,22000.0,388.0,426.5189032492412
AXM706_20250317_10,AXM706_WSSS-WMKK,WSSS,WMKK,,,83,22000.0,493.0,380.30651717476564
AXM706_20250317_11,AXM706_WSSS-WMKK,WSSS,WMKK,,,104,22000.0,427.0,408.95278137390693
AXM706_20250317_12,AXM706_WSSS-WMKK,WSSS,WMKK,,,84,24000.0,474.0,355.1752163446902
AXM706_20250317_13,AXM706_WSSS-WMKK,WSSS,WMKK,,,82,24000.0,436.0,346.413735202903
AXM706_20250317_14,AXM706_WSSS-WMKK,WSSS,WMKK,,,80,22000.0,449.0,325.6020414861408
AXM706_20250317_15,AXM706_WSSS-WMKK,WSSS,WMKK,,,168,22000.0,434.0,984.5868136366688
AXM706_20250317_16,AXM706_WSSS-WMKK,WSSS,WMKK,,,78,22000.0,393.0,320.99398502163206
AXM706_20250317_17,AXM706_WSSS-WMKK,WSSS,WMKK,,,96,22000.0,440.0,368.39662480314144
AXM706_20250317_18,AXM706_WSSS-WMKK,WSSS,WMKK,,,92,22000.0,388.0,361.8217201691708
AXM706_20250317_19,AXM706_WSSS-WMKK,WSSS,WMKK,,,91,24000.0,441.0,362.418511307946
AXM706_20250317_20,AXM706_WSSS-WMKK,WSSS,WMKK,,,102,24050.0,386.0,407.28980548553193
AXM706_20250317_21,AXM706_WSSS-WMKK,WSSS,WMKK,,,100,24000.0,403.0,399.73542740817294
AXM706_20250317_22,AXM706_WSSS-WMKK,WSSS,WMKK,,,88,24000.0,464.0,416.65208367080504
AXM706_20250317_23,AXM706_WSSS-WMKK,WSSS,WMKK,,,104,22000.0,425.0,423.39092206802883
AXM706_20250317_24,AXM706_WSSS-WMKK,WSSS,WMKK,,,81,24025.0,455.0,355.37584140653945
AXM706_20250317_25,AXM706_WSSS-WMKK,WSSS,WMKK,,,115,22000.0,425.0,444.0780635326184
AXM706_20250317_26,AXM706_WSSS-WMKK,WSSS,WMKK,,,74,22000.0,397.0,319.14107774113563
AXM706_20250317_27,AXM706_WSSS-WMKK,WSSS,WMKK,,,78,22000.0,435.0,328.4178720641108
