flight_id,sequence,timestamp,latitude,longitude,kts,mph,feet,rate,phase,distance_km,cum_distance
AXM713_20250317_0,1,Thu 01:07:28 PM,2.7268,101.6851,167.0,192.0,350.0,,unknown,0.0,0.0
AXM713_20250317_0,2,Thu 01:07:44 PM,2.7364,101.6786,166.0,191.0,875.0,1545.0,climb,1.2901296602905437,1.2901296602905437
AXM713_20250317_0,3,Thu 01:08:01 PM,2.7481,101.6706,188.0,216.0,1200.0,1091.0,climb,1.577223628953415,2.8673532892439586
AXM713_20250317_0,4,Thu 01:08:17 PM,2.7593,101.661,210.0,242.0,1475.0,891.0,climb,1.6413054196207255,4.508658708864684
AXM713_20250317_0,5,Thu 01:08:33 PM,2.7644,101.6466,236.0,272.0,1675.0,1324.0,climb,1.6988164018402663,6.20747511070495
AXM713_20250317_0,6,Thu 01:08:51 PM,2.7641,101.6238,260.0,299.0,2225.0,2162.0,climb,2.5353630071680153,8.742838117872965
AXM713_20250317_0,7,Thu 01:09:07 PM,2.7632,101.6034,268.0,308.0,2900.0,1765.0,climb,2.2704991309254527,11.013337248798418
AXM713_20250317_0,8,Thu 01:09:25 PM,2.7559,101.5829,264.0,304.0,3225.0,1629.0,climb,2.4199454175288238,13.433282666327242
AXM713_20250317_0,9,Thu 01:09:42 PM,2.7399,101.5708,264.0,304.0,3850.0,2583.0,climb,2.2321684984002825,15.665451164727525
AXM713_20250317_0,10,Thu 01:10:01 PM,2.7177,101.5685,263.0,303.0,4775.0,3034.0,climb,2.4845020658517747,18.1499532305793
AXM713_20250317_0,11,Thu 01:10:26 PM,2.6867,101.5748,268.0,308.0,6075.0,3000.0,climb,3.5213083201409647,21.671261550720264
AXM713_20250317_0,12,Thu 01:10:44 PM,2.6642,101.5759,273.0,314.0,6925.0,3077.0,climb,2.5076850251039797,24.17894657582424
AXM713_20250317_0,13,Thu 01:11:05 PM,2.638,101.5761,270.0,311.0,8075.0,2850.0,climb,2.916668795855477,27.09561537167972
AXM713_20250317_0,14,Thu 01:11:24 PM,2.6159,101.5841,272.0,313.0,8825.0,2361.0,climb,2.616083205714716,29.711698577394436
AXM713_20250317_0,15,Thu 01:12:06 PM,2.5854,101.6273,282.0,325.0,10475.0,2493.0,climb,5.88280925649291,35.59450783388735
AXM713_20250317_0,16,Thu 01:12:38 PM,2.5624,101.6629,286.0,329.0,11900.0,2468.0,climb,4.71480200034572,40.30930983423307
AXM713_20250317_0,17,Thu 01:13:08 PM,2.5409,101.6965,294.0,338.0,13025.0,2475.0,climb,4.437454773959043,44.74676460819211
AXM713_20250317_0,18,Thu 01:13:38 PM,2.519,101.7308,291.0,335.0,14375.0,2350.0,climb,4.527081275451497,49.2738458836436
AXM713_20250317_0,19,Thu 01:14:08 PM,2.4967,101.766,300.0,345.0,15375.0,1975.0,climb,4.63548397157186,53.90932985521546
