Time (+08),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 12:18:00 PM    Left Gate (SIN) @ Thursday 12:18:00 PM +08,,,,,,,, Airline
Taxi Time: 10 minutes,,,,,,,,
Thu 12:28:03 PM    Departure (SIN) @ Thursday 12:28:03 PM +08,,,,,,,, FlightAware ADS-B (XSP / WSSL)
Thu 12:28:03 PM,1.3469,103.9926,↗ 23°,166,191,200,, FlightAware ADS-B (XSP / WSSL)
Thu 12:28:19 PM,1.3588,103.9976,↗ 23°,173,199,775,1864, FlightAware ADS-B (XSP / WSSL)
Thu 12:28:36 PM,1.3716,104.003,↗ 23°,197,227,1225,1545, FlightAware ADS-B (QPG / WSAP)
Thu 12:28:52 PM,1.3862,104.0092,↗ 23°,222,255,1625,2045, FlightAware ADS-B (WSAG)
Thu 12:29:09 PM,1.4053,104.0171,↗ 23°,249,287,2350,2043, FlightAware ADS-B (JHB / WMKJ)
Thu 12:29:39 PM,1.4399,104.0318,↗ 23°,289,333,3225,1435, FlightAware ADS-B (TGA / WSAT)
Thu 12:29:55 PM,1.4586,104.0398,↗ 23°,297,342,3450,857, FlightAware ADS-B (XSP / WSSL)
Thu 12:30:14 PM,1.4829,104.0476,↑ 8°,302,348,3725,986, FlightAware ADS-B (QPG / WSAP)
Thu 12:30:30 PM,1.5046,104.0464,↑ 347°,301,346,4025,1909, FlightAware ADS-B (JHB / WMKJ)
Thu 12:30:47 PM,1.527,104.0334,← 314°,308,354,4775,3158, FlightAware ADS-B (JHB / WMKJ)
Thu 12:31:08 PM,1.5417,104.0074,← 293°,314,361,6025,3412, FlightAware ADS-B (WSAC)
Thu 12:31:38 PM,1.5582,103.9687,← 293°,323,372,7675,3225, FlightAware ADS-B (SIN / WSSS)
Thu 12:32:08 PM,1.5764,103.9265,← 293°,334,384,9250,3100, FlightAware ADS-B (TGA / WSAT)
Thu 12:32:38 PM,1.5955,103.8816,← 293°,347,399,10775,2903, FlightAware ADS-B (JHB / WMKJ)
Thu 12:33:10 PM,1.6156,103.834,← 293°,358,412,12250,2758, FlightAware ADS-B (XSP / WSSL)
Thu 12:33:40 PM,1.6353,103.7877,← 293°,367,422,13625,2803, FlightAware ADS-B (SIN / WSSS)
Thu 12:34:11 PM,1.6566,103.7376,← 293°,373,429,15100,2828, FlightAware ADS-B (JHB / WMKJ)
Thu 12:34:41 PM,1.6769,103.6898,← 293°,379,436,16500,2500, FlightAware ADS-B (JHB / WMKJ)
Thu 12:35:11 PM,1.6975,103.6413,← 293°,389,448,17600,2225, FlightAware ADS-B (JHB / WMKJ)
Thu 12:35:41 PM,1.7185,103.592,← 293°,396,456,18725,2450, FlightAware ADS-B (WSAG)
Thu 12:36:11 PM,1.7403,103.5405,← 293°,396,456,20050,2300, FlightAware ADS-B (JHB / WMKJ)
Thu 12:36:41 PM,1.7613,103.4909,← 293°,404,465,21025,2050, FlightAware ADS-B (MKZ / WMKM)
Thu 12:37:11 PM,1.7831,103.4397,← 293°,404,465,22100,1700, FlightAware ADS-B (MKZ / WMKM)
Thu 12:37:41 PM,1.8057,103.3864,← 293°,411,473,22725,1107, FlightAware ADS-B (MKZ / WMKM)
Thu 12:38:12 PM,1.8285,103.3327,← 293°,415,478,23225,959, FlightAware ADS-B (TGA / WSAT)
Thu 12:38:42 PM,1.8512,103.2804,← 295°,414,476,23700,750, FlightAware ADS-B (QPG / WSAP)
Thu 12:39:14 PM,1.8787,103.2242,← 296°,411,473,24000,290, FlightAware ADS-B (WSAC)
Thu 12:39:44 PM,1.9027,103.1752,← 296°,411,473,24000,, FlightAware ADS-B (WSAC)
Thu 12:40:15 PM,1.9286,103.1224,← 296°,409,471,24000,, FlightAware ADS-B (WSAC)
Thu 12:40:55 PM,1.9623,103.0538,← 296°,410,472,24000,, FlightAware ADS-B (WMAV)
